K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,123,18.24,81.05189229305523,97.0,Zn0.92128085W0.10994137O1.2205657
1,123,145.2,441.1793033889083,168.0,Al0.2Bi2Se3
1,123,143.04,436.21576800448065,169.0,Al0.2Bi2Se3
1,123,147.36,452.44402097059077,170.0,Al0.2Bi2Se3
1,123,159.08,442.5546676481166,171.0,Al0.2Bi2Se3
1,123,172.66,433.1020658782096,172.0,Al0.2Bi2Se3
1,123,188.08,409.8214999813547,173.0,Al0.2Bi2Se3
1,123,200.73,403.47335001735473,174.0,Al0.2Bi2Se3
1,123,207.83,402.46824052759945,175.0,Al0.2Bi2Se3
1,123,209.37,394.9787370551573,176.0,Al0.2Bi2Se3
1,123,219.25,379.8265580737378,177.0,Al0.2Bi2Se3
1,123,549.8,479.0785974999977,270.0,Co4Cu0.3Sb11.5Te0.5
1,123,533.3,444.93762599999826,271.0,Co4Cu0.3Sb11.5Te0.5
1,123,517.9,435.5887299999961,272.0,Co4Cu0.3Sb11.5Te0.5
1,123,500.0,428.27630000000045,273.0,Co4Cu0.3Sb11.5Te0.5
1,123,483.3,423.3184560000042,274.0,Co4Cu0.3Sb11.5Te0.5
1,123,464.5,418.68307600000173,275.0,Co4Cu0.3Sb11.5Te0.5
1,123,450.0,414.91013600000446,276.0,Co4Cu0.3Sb11.5Te0.5
1,123,439.0,408.7267300000053,277.0,Co4Cu0.3Sb11.5Te0.5
1,123,426.1,403.8158600000051,278.0,Co4Cu0.3Sb11.5Te0.5
1,123,418.6,400.97512999999935,279.0,Co4Cu0.3Sb11.5Te0.5
1,123,413.7,399.51315000000045,280.0,Co4Cu0.3Sb11.5Te0.5
1,123,409.2,397.6703200000022,281.0,Co4Cu0.3Sb11.5Te0.5
1,123,404.5,410.0862200000028,282.0,Co4Cu0.3Sb11.5Te0.5
1,123,978.91,723.2801139697763,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,881.69,686.4409142864282,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,784.47,636.2832739896045,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,696.5,563.2912665433144,321.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,608.54,497.6501945185664,322.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,539.22,437.3732285985631,323.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,479.04,377.7481550999979,324.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,1120.0,1176.3033026936043,501.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,974.4,1079.593870754197,502.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,876.4,974.8509749623047,503.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,787.9,875.5537965223036,504.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,684.1999999999999,759.0533044776901,505.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,605.5,655.2955897433535,506.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,505.9,541.2531305956003,507.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,404.3,477.5867315181485,508.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,358.3,427.8648513974459,509.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,342.2,397.0057722442001,510.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,318.4,384.46161840300044,511.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,290.6,374.6374671704499,512.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,807.4,782.1310734000049,517.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,705.4,673.191071177635,518.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,575.8,568.862328443299,519.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,491.9,470.21454730660037,520.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,441.7,419.94050822915005,521.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,390.8,377.27308718589654,522.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,331.9,353.25908948939946,523.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,290.1,342.1395862961007,524.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,244.9,332.8071622802001,525.0,Sn0.1Sb0.012Te0.25Pb0.89Se0.5S0.25
1,123,175.0,258.0631802700033,566.0,Cr0.03Fe0.97Se2
1,123,282.14,308.6109600899998,567.0,Cr0.03Fe0.97Se2
1,123,428.57,400.99587758000206,568.0,Cr0.03Fe0.97Se2
1,123,639.29,527.2672516200013,569.0,Cr0.03Fe0.97Se2
1,123,53.57,471.89256094447353,571.0,Cr0.06Fe0.94Se2
1,123,71.43,448.1469929424023,572.0,Cr0.06Fe0.94Se2
1,123,232.14,349.64183360610525,575.0,Cr0.06Fe0.94Se2
1,123,342.86,403.11822789610386,576.0,Cr0.06Fe0.94Se2
1,123,496.43,508.7494671860967,577.0,Cr0.06Fe0.94Se2
