K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,42,1210.11,984.650715355,602.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,1161.42,938.0414826981032,603.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,808.94,766.7394495241205,604.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,710.4,684.7283407615021,605.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,628.41,627.7233074653019,606.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,554.1,570.2393679830002,607.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,487.47,531.2362383448392,608.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,433.35,481.4686452760486,609.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,387.28,440.2290444919477,610.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,347.68,405.7419059619681,611.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,317.75,384.17271711913986,612.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,303.06,370.3448578531491,613.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,289.5,363.26648550841094,614.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,281.53,359.87133958621087,615.0,Ca0.012Cu1.8Bi0.176Pb0.012Se1O0.2
1,42,983.36056,1437.2378072600143,657.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,949.73616,1306.784441999994,658.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,631.15494,1001.7412841742848,659.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,549.33012,904.5372749998172,660.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,479.0114,794.8613287746724,661.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,418.79905,706.7050545224855,662.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,364.86829,617.7661090401253,663.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,321.27864,543.01123168161,664.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,283.2156,481.03253129124187,665.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,251.18112,426.18030214730754,666.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,227.58151,384.62896859936626,667.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,209.23838,353.4885126891327,668.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,194.5475,331.2809496143929,669.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,185.65341,310.0874856990803,670.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,204.02609,312.8943843290817,671.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00083259O0.04521383
1,42,1246.0,722.6540790623999,828.0,Cu0.006Pb1.004Se0.4S0.6
1,42,1123.0,659.1567914747999,829.0,Cu0.006Pb1.004Se0.4S0.6
1,42,892.0,521.8916560201998,830.0,Cu0.006Pb1.004Se0.4S0.6
1,42,708.0,396.9703965,831.0,Cu0.006Pb1.004Se0.4S0.6
1,42,569.0,333.9438455,832.0,Cu0.006Pb1.004Se0.4S0.6
1,42,469.0,282.12013975000013,833.0,Cu0.006Pb1.004Se0.4S0.6
1,42,400.0,236.62371600000003,834.0,Cu0.006Pb1.004Se0.4S0.6
