K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,1201,-129.88,-150.20844553577575,0.0,Ga0.025Te1Pb0.975
1,1201,-149.5,-167.97129609037543,1.0,Ga0.025Te1Pb0.975
1,1201,-170.36,-180.03749921569255,2.0,Ga0.025Te1Pb0.975
1,1201,-189.41,-189.77960096351194,3.0,Ga0.025Te1Pb0.975
1,1201,-202.93,-195.1564589322373,4.0,Ga0.025Te1Pb0.975
1,1201,-253.27,-212.79997382649665,10.0,Ga0.025Te1Pb0.975
1,1201,-254.51,-218.7535064767192,11.0,Ga0.025Te1Pb0.975
1,1201,-105.6,-128.8281600870284,283.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-109.6,-129.96023996251176,284.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-113.6,-137.222218961302,285.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-118.4,-141.59737032828272,286.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-125.6,-144.92537452726032,287.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-132.8,-153.45717014784034,288.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-138.4,-156.8984222319751,289.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-146.4,-164.3239733631082,290.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-154.4,-173.9090964660563,291.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-163.2,-179.72547467947868,292.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-169.6,-183.31763493246686,293.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-175.2,-186.19541094028827,294.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-180.0,-186.16189148324173,295.0,Co4Cu0.3Sb11.3Te0.7
1,1201,-67.86,-66.95938312839037,336.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-77.38,-73.1783684710933,337.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-84.52,-79.7754293355787,338.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-96.43,-89.03756094156417,339.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-108.33,-99.88220272251702,340.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-120.24,-111.27147928343601,341.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-132.14,-118.63957922338662,342.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-148.81,-125.30857005571687,343.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,-165.48,-127.79197943420739,344.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.9Nb0.1O3
1,1201,283.27,226.2994464369765,354.0,AgSbTe2
1,1201,297.77,229.96441707424665,355.0,AgSbTe2
1,1201,313.8,233.951401337917,356.0,AgSbTe2
1,1201,330.55,239.128781673682,357.0,AgSbTe2
1,1201,349.37,239.03236316267362,358.0,AgSbTe2
1,1201,358.09,239.19670028374534,359.0,AgSbTe2
1,1201,356.84,239.5318602673766,360.0,AgSbTe2
1,1201,354.39,239.70063487811007,361.0,AgSbTe2
1,1201,350.72,238.45401340234113,362.0,AgSbTe2
1,1201,340.89,239.6412663393414,363.0,AgSbTe2
1,1201,328.5,240.7104775519621,364.0,AgSbTe2
1,1201,274.33,245.3858796401847,366.0,Cd0.02Ag1Sb0.98Te2
1,1201,288.88,250.77606770611243,367.0,Cd0.02Ag1Sb0.98Te2
