K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,1201,1.29,1.5225398268358559,24.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,1.04,1.399823566693703,25.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.9,1.1502627094641742,26.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.81,1.0722296115777237,27.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.72,0.9603418662169437,28.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.67,0.8834667642991988,29.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.62,0.8339840941453415,30.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.57,0.8013681547627749,31.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,0.59,0.7809240043399595,33.0,Zn0.005Ga0.025Te1.005Pb0.975
1,1201,1.02,1.0941884642078774,66.0,Cd0.02Te0.98
1,1201,0.16844,0.37765077109924505,376.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.17914,0.34951666752433524,377.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.21016,0.3438007594629561,378.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.22047,0.34166333577117997,379.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.24668,0.3358898212685039,380.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.24072,0.32989282616463306,381.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.25436,0.330117797117014,382.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.27716,0.33155102158468525,383.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.29636,0.33241462059010984,384.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.30039,0.3318174471798951,385.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.27458,0.3233767647301597,386.0,Cd0.04Ag1Sb0.96Te2
1,1201,0.9584,0.7936080798563704,425.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,1201,0.7614,0.718480958281155,426.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
