K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,123,0.035,0.11094801940336575,567.0,Cr0.03Fe0.97Se2
1,123,0.057,0.1412626015482639,568.0,Cr0.03Fe0.97Se2
1,123,0.077,0.1595296460205159,569.0,Cr0.03Fe0.97Se2
1,123,0.21349,0.2735880331755192,672.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.24608,0.290275456008868,673.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.298,0.43845383135772786,674.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.43929,0.5762170122410557,675.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.60499,0.726097176129493,676.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.78034,0.8946314770215622,677.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.90189,1.0324142938135181,678.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.11908,1.225822543769525,679.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.27545,1.3475998263690419,680.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.39419,1.503961299356075,681.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.56954,1.6245637809995503,682.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.70643,1.7486602833882776,683.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,1.85523,1.914100919855386,684.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,2.1781,2.0851712783826826,685.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,2.30496,2.144699794846198,686.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.4054,0.2747568169880714,717.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,0.45059,0.2912853466865149,718.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,0.66995,0.43975796761485625,719.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,0.90289,0.5803015700842533,720.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,1.15254,0.728421402020376,721.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,1.39801,0.8941813945296699,722.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
1,123,1.5466,1.0252971767597903,723.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00333036O0.04521383
