K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,88,-110.25,-217.69226053463368,138.0,Bi2Se3
1,88,-133.0,-151.11859943064857,150.0,Al0.1Bi2Se3
1,88,-138.0,-155.42708733228915,151.0,Al0.1Bi2Se3
1,88,-141.75,-159.247864855368,152.0,Al0.1Bi2Se3
1,88,-145.0,-160.84080735349656,153.0,Al0.1Bi2Se3
1,88,237.0,199.96937592519853,244.0,Ge0.91Bi0.06Te1
1,88,227.0,202.2169893963767,245.0,Ge0.91Bi0.06Te1
1,88,-143.2,-123.07574158600639,270.0,Co4Cu0.3Sb11.5Te0.5
1,88,-148.8,-125.76021201628004,271.0,Co4Cu0.3Sb11.5Te0.5
1,88,-155.2,-128.77745557306466,272.0,Co4Cu0.3Sb11.5Te0.5
1,88,-165.6,-128.35960575412534,273.0,Co4Cu0.3Sb11.5Te0.5
1,88,-173.6,-129.92747895785627,274.0,Co4Cu0.3Sb11.5Te0.5
1,88,-180.8,-130.79786450168092,275.0,Co4Cu0.3Sb11.5Te0.5
1,88,-187.2,-129.34602430413113,276.0,Co4Cu0.3Sb11.5Te0.5
1,88,-196.8,-141.42244441822328,277.0,Co4Cu0.3Sb11.5Te0.5
1,88,-208.0,-151.2917035710859,278.0,Co4Cu0.3Sb11.5Te0.5
1,88,-216.8,-158.6577221034742,279.0,Co4Cu0.3Sb11.5Te0.5
1,88,-222.4,-158.20506461894456,280.0,Co4Cu0.3Sb11.5Te0.5
1,88,-227.2,-165.82393858344804,281.0,Co4Cu0.3Sb11.5Te0.5
1,88,-231.2,-163.55772495818826,282.0,Co4Cu0.3Sb11.5Te0.5
1,88,-96.43,-81.32261649556898,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,-109.52,-89.45089118739895,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,-120.24,-102.47109284728275,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
